#This file contains a self-published geofeed as defined in http://tools.ietf.org/html/draft-google-self-published-geofeeds-02 (draft02)
#Generated on 06-06-2026 02:28:18
#If you have any questions or need assistance with the data, please contact us.
#prefix,country_code,region_code,city,postal
# North America
2a13:a5c3:2000::/42,US,US-MO,Kansas City,
2a13:a5c3:2100::/41,US,US-CA,Los Angeles,
2a13:a5c3:2240::/42,US,US-CA,San Jose,
2a13:a5c3:2200::/42,US,US-CA,Fremont,
2a13:a5c3:2280::/44,US,US-NV,Las Vegas,
2a13:a5c3:2500::/41,US,US-NY,New York,
2a13:a5c3:2580::/42,US,US-FL,Miami,
2a13:a5c3:2800::/44,CA,CA-BC,Vancouver,
2a13:a5c3:2900::/42,CA,CA-ON,Toronto,
# Asia
23.149.120.0/24,HK,,Hong Kong,
2a13:a5c3:3000::/40,SG,SG-01,Singapore,
2a13:a5c3:3100::/40,TW,TW-TPE,Taipei,
2a13:a5c3:3200::/40,HK,,Hong Kong,
2a13:a5c3:3300::/41,JP,JP-13,Tokyo,
2a13:a5c3:3380::/42,JP,JP-27,Osaka,
2a13:a5c3:3400::/42,KR,KR-11,Seoul,
2a13:a5c3:3480::/42,IN,IN-MH,Mumbai,
2a13:a5c3:34c0::/43,IN,IN-DL,New Delhi,
2a13:a5c3:3500::/43,AE,AE-DU,Dubai,
2a13:a5c3:3600::/44,TR,TR-16,Bursa,
2a13:a5c3:3640::/42,UZ,UZ-TO,Toshkent,
#Europe
2a13:a5c3:4000::/42,DE,DE-HE,Frankfurt,
2a13:a5c3:4040::/43,DE,DE-HE,Frankfurt,
2a13:a5c3:4060::/43,DE,DE-SN,Falkenstein,08223
2a13:a5c3:4080::/43,DE,DE-SN,Falkenstein,08223
2602:f9f6:f00::/40,DE,DE-SN,Falkenstein,08223
2a13:a5c3:4100::/41,NL,NL-NH,Amsterdam,
2a13:a5c3:4180::/42,RU,RU-MOW,Moscow,
2a13:a5c3:41c0::/44,RU,RU-SPE,Saint Petersburg,
2a13:a5c3:4200::/42,DK,DK-84,Copenhagen,
2a13:a5c3:4240::/42,GB,GB-LND,London,
2a13:a5c3:4280::/42,FI,FI-18,Helsinki,04360
2a13:a5c3:4300::/42,EE,EE-37,Tallinn,
2a13:a5c3:4340::/42,ES,ES-B,Barcelona,
#South America
2a13:a5c3:5100::/42,BR,BR-SP,Sao Paulo,
2a13:a5c3:5200::/42,PE,,Lima,
2a13:a5c3:5100::/40,AR,,Rosario,
#Chinese region
2a13:a5c3:1000::/41,TW,TW-TPE,Taipei,
2a13:a5c3:1080::/41,CN,CN-SH,Shanghai,
2a13:a5c3:1100::/42,CN,CN-HN,Changsha,
2a13:a5c3:1200::/41,CN,CN-GD,Guangzhou,
2a13:a5c3:1280::/42,CN,CN-GD,Shenzhen,
2a13:a5c3:1300::/41,CN,CN-HA,Zhengzhou,
2a13:a5c3:1380::/43,CN,CN-HA,Zhoukou,
2a13:a5c3:1400::/40,CN,CN-BJ,Beijing,
2a13:a5c3:1500::/41,CN,CN-HB,Wuhan,
2a13:a5c3:1580::/43,CN,CN-HB,jingmen,
2a13:a5c3:1600::/42,CN,CN-JS,Suzhou,
2a13:a5c3:1640::/42,CN,CN-JS,Nanjing,
2a13:a5c3:1700::/42,CN,CN-ZJ,Hangzhou,
2a13:a5c3:1740::/43,CN,CN-ZJ,Ningbo,
2a13:a5c3:1800::/43,CN,CN-HE,Shijiazhuang,
2a13:a5c3:1900::/43,CN,CN-SD,Jinan,
2a13:a5c3:1940::/43,CN,CN-SD,qingdao,
2a13:a5c3:1a00::/42,CN,CN-HI,Haikou,
2a13:a5c3:1a40::/42,CN,CN-HI,Sanya,

#MDONE
2a13:a5c3:d600::/46,CN,CN-BJ,Beijing,
2a13:a5c3:d680::/46,TW,TW-TPE,Taipei,
2a13:a5c3:d684::/46,JP,JP-13,Tokyo,
2a13:a5c3:d688::/46,MO,,Macao,

#LYCHEEN-DIA-B
2602:f92a:fe00::/48,CN,CN-BJ,Beijing,
2602:f92a:fe01::/48,MO,,Macao,
2602:f92a:fe02::/48,TW,TW-TPE,Taipei,
2602:f92a:fe03::/48,JP,JP-13,Tokyo,
2602:f92a:fe04::/48,US,US-CA,Los Angeles,
2602:f92a:fe06::/48,KR,KR-11,Seoul,
2602:f92a:fe11::/48,NG,NG-LA,Lagos,
2602:f92a:fe12::/48,TR,TR-06,Ankara,
2602:f92a:fe15::/48,IN,IN-MH,Mumbai,



#MoeDove N2
216.238.52.0/23,US,US-UT,Salt Lake City,
154.94.226.0/23,US,US-UT,Salt Lake City,
216.238.52.0/24,US,US-UT,Salt Lake City,
216.238.53.0/24,US,US-UT,Salt Lake City,
66.93.14.0/24,US,US-UT,Salt Lake City,
2602:f92a:100::/46,US,US-UT,Salt Lake City,
2602:f92a:170::/44,US,US-CA,Los Angeles,
45.207.216.0/24,SG,SG-01,Singapore,
45.207.217.0/24,GB,GB-LND,London,EC3B 7HX
45.207.218.0/24,HK,,Hong Kong,
45.207.219.0/24,GB,GB-LND,London,EC3B 7HX
45.207.220.0/24,HK,,Hong Kong,
45.207.221.0/24,HK,,Hong Kong,
45.207.222.0/24,HK,,Hong Kong,
45.207.223.0/24,HK,,Hong Kong,
45.87.102.0/24,HK,,Hong Kong,
45.87.102.3/32,US,US-CA,Los Angeles,
45.207.220.3/32,US,US-CA,Los Angeles,
45.87.103.0/24,HK,,Hong Kong,
157.254.178.0/24,HK,,Hong Kong,
2602:f92a:220::/44,HK,,Hong Kong,
77.111.100.0/24,SG,SG-01,Singapore,
2602:f92a:200::/44,SG,SG-01,Singapore,
2602:f92a:310::/44,GB,GB-LND,London,
2602:f92a:300::/44,DE,DE-HE,Frankfurt,
23.151.104.0/24,JP,JP-13,Tokyo,
2602:f92a:230::/44,JP,JP-13,Tokyo,
45.196.238.0/24,HK,,Hong Kong,
45.196.239.0/24,GB,GB-LND,London,EC3B 7HX
44.32.154.0/24,HK,,Hong Kong,

# Shisaku Labs
45.207.217.192/26,FR,FR-HDF,Gravelines,
2a0f:1cc1:42c0::/44,FR,FR-HDF,Gravelines,

#MoeDove BN
2602:f92a:c00::/40,TW,TW-TPE,Taipei,
44.31.231.0/24,TW,TW-TPE,Taipei,

#Pigeon Internet
